Name1,Grp,MAC,Pre-Maint,Post-Maint
DGC#14099,ECOMV107816L146787,501CB0D802A6,REGISTERED,REGISTERED
DGC#17179,ECOMV107816L146906,501CB0D83018,REGISTERED,REGISTERED
DGC#17786,ECOMV107816L146949,501CB0D8284C,REGISTERED,REGISTERED
DGC#08655,ECOMV107816L147420,501CB0D8F32C,REGISTERED,REGISTERED
DGC#00482,ECOMV107816L148043,501CB0D81C8C,REGISTERED,REGISTERED
DGC#01100,ECOMV107816L148061,CC5A539697F4,REGISTERED,REGISTERED
DGC#06729,ECOMV107816L148143,CC5A5397F40E,REGISTERED,REGISTERED
DGC#10853,ECOMV107816L148218,501CB0D821A4,n/a,REGISTERED
DGC#12181,ECOMV107816L148238,501CB0D80282,REGISTERED,REGISTERED
DGC#17427,ECOMV107816L148344,501CB0D831B0,REGISTERED,REGISTERED
DGC#00741,ECOMV107816L149665,501CB0D8D12A,REGISTERED,REGISTERED
DGC#04769,ECOMV107816L149773,501CB0D82F3A,REGISTERED,REGISTERED
DGC#06915,ECOMV107816L149821,CC5A5397EF06,REGISTERED,REGISTERED
DGC#10338,ECOMV107816L149978,34F8E7522F44,REGISTERED,REGISTERED
DGC#10860,ECOMV107816L149997,CC5A5397D644,REGISTERED,REGISTERED
DGC#10885,ECOMV107816L149999,501CB0D80118,REGISTERED,REGISTERED
DGC#04236,ECOMV107816L151591,501CB0D8E174,REGISTERED,REGISTERED
DGC#06096,ECOMV107816L151599,501CB0D8E2D0,REGISTERED,REGISTERED
DGC#07286,ECOMV107816L151611,501CB0D8E17E,REGISTERED,REGISTERED
DGC#16329,ECOMV107816L151644,501CB0D8E1F2,REGISTERED,REGISTERED
DGC#00720,ECOMV107816L151997,CC5A5397E8C2,REGISTERED,REGISTERED
DGC#01224,ECOMV107816L152008,501CB0D8B4EE,REGISTERED,REGISTERED
DGC#03849,ECOMV107816L152083,501CB0D83102,REGISTERED,REGISTERED
DGC#04627,ECOMV107816L152110,501CB0D8E0C0,REGISTERED,REGISTERED
DGC#04955,ECOMV107816L152118,CC5A5397FF52,REGISTERED,REGISTERED
DGC#16337,ECOMV107816L152441,501CB0D8B6E4,REGISTERED,REGISTERED
DGC#02392,ECOMV107816L153090,501CB0D8C18E,REGISTERED,REGISTERED
DGC#04430,ECOMV107816L153130,501CB0D8CD3C,REGISTERED,REGISTERED
DGC#07902,ECOMV107816L153173,501CB0D8BD66,REGISTERED,REGISTERED
DGC#10390,ECOMV107816L153857,501CB0D8C154,REGISTERED,REGISTERED
DGC#13523,ECOMV107816L153923,501CB0D8B710,REGISTERED,REGISTERED
DGC#16819,ECOMV107816L153972,501CB0D8D29A,REGISTERED,REGISTERED
DGC#03101-R,ECOMV107816L154493,501CB0D8B456,REGISTERED,REGISTERED
DGC#02772,ECOMV107816L154762,501CB0D8E3D8,REGISTERED,REGISTERED
DGC#09517,ECOMV107816L154837,BCD295D964BE,REGISTERED,n/a
DGC#17214,ECOMV107816L154990,501CB0D92924,REGISTERED,REGISTERED
DGC#19624,ECOMV107816L155028,501CB0D8E238,REGISTERED,REGISTERED
DGC#00809,ECOMV107816L157093,501CB0D92FFC,REGISTERED,REGISTERED
DGC#01348,ECOMV107816L157105,501CB0D91408,REGISTERED,REGISTERED
DGC#02433,ECOMV107816L157133,501CB0D9228C,REGISTERED,REGISTERED
DGC#02747,ECOMV107816L157145,501CB0D82E4E,REGISTERED,REGISTERED
DGC#02925,ECOMV107816L157155,501CB0D93054,REGISTERED,REGISTERED
DGC#03533,ECOMV107816L157173,501CB0D8F0AA,REGISTERED,REGISTERED
DGC#04044,ECOMV107816L157277,501CB0D8B576,REGISTERED,REGISTERED
DGC#12360,ECOMV107816L157455,501CB0D82628,REGISTERED,REGISTERED
DGC#16646,ECOMV107816L157586,501CB0D830A0,REGISTERED,REGISTERED
DGC#00534,ECOMV107816L159540,501CB0D91AC4,REGISTERED,REGISTERED
DGC#01499,ECOMV107816L159584,501CB0D8E114,REGISTERED,REGISTERED
DGC#04238,ECOMV107816L159773,501CB0D8E1C6,REGISTERED,REGISTERED
DGC#04781,ECOMV107816L159798,501CB0D90554,REGISTERED,REGISTERED
DGC#06183,ECOMV107816L159826,501CB0D8E0D4,REGISTERED,REGISTERED
DGC#07554,ECOMV107816L159883,501CB0D91FA4,REGISTERED,REGISTERED
DGC#08103,ECOMV107816L159898,501CB0D8EB5E,REGISTERED,REGISTERED
DGC#09177,ECOMV107816L159938,501CB0D91A38,REGISTERED,REGISTERED
DGC#10324,ECOMV107816L159980,501CB0D92EB8,REGISTERED,REGISTERED
DGC#11521,ECOMV107816L160053,501CB0D92532,REGISTERED,REGISTERED
DGC#11737,ECOMV107816L160062,501CB0D92702,REGISTERED,REGISTERED
DGC#15233,ECOMV107816L160171,501CB0D924AC,REGISTERED,REGISTERED
DGC#17019,ECOMV107816L160238,501CB0D91D5C,REGISTERED,REGISTERED
DGC#01420,ECOMV107816L163219,501CB0D92428,REGISTERED,REGISTERED
DGC#07474,ECOMV107816L163341,501CB0D905D4,n/a,REGISTERED
DGC#07541,ECOMV107816L163342,501CB0D91764,REGISTERED,REGISTERED
DGC#07943,ECOMV107816L163351,501CB0D91328,REGISTERED,REGISTERED
DGC#10563,ECOMV107816L163447,501CB0D9152C,REGISTERED,REGISTERED
DGC#13642,ECOMV107816L163496,501CB0D8DE6C,REGISTERED,REGISTERED
DGC#15735,ECOMV107816L163526,501CB0D924CC,REGISTERED,REGISTERED
DGC#01057,ECOMV107816L164598,501CB0D9170A,REGISTERED,REGISTERED
DGC#06156,ECOMV107816L165443,501CB0D917AA,REGISTERED,REGISTERED
DGC#16554,ECOMV107816L165529,34F8E752340C,REGISTERED,REGISTERED
DGC#19694,ECOMV107816L165554,501CB0D9171E,REGISTERED,REGISTERED
DGC#19999,ECOMV107816L165569,501CB0D916F0,REGISTERED,REGISTERED
DGC#20070,ECOMV107816L165577,501CB0D82E3A,REGISTERED,REGISTERED
DGC#20139,ECOMV107816L165596,501CB0D912C6,REGISTERED,REGISTERED
DGC#20794,ECOMV107816L165675,501CB0D919B8,REGISTERED,REGISTERED
DGC#11296,ECOMV107816L165839,501CB0D8E31A,REGISTERED,REGISTERED
DGC#04412,ECOMV107816L167374,501CB0D95434,REGISTERED,REGISTERED
DGC#10349,ECOMV107816L167386,501CB0D94A2E,REGISTERED,REGISTERED
DGC#11181,ECOMV107816L167715,501CB0D956B4,n/a,n/a
DGC#02322,ECOMV107816L168019,501CB0D96ECC,REGISTERED,REGISTERED
DGC#04166,ECOMV107816L168231,501CB0D96F6A,REGISTERED,REGISTERED
DGC#14444,ECOMV107816L168350,501CB0D95396,REGISTERED,REGISTERED
DGC#01193,ECOMV107816L171376,501CB0D95A04,REGISTERED,REGISTERED
DGC#02818,ECOMV107816L171402,501CB0D9BA38,REGISTERED,REGISTERED
DGC#00348,ECOMV107816L176448,501CB0D96BB0,REGISTERED,REGISTERED
DGC#01152,ECOMV107816L176603,501CB0D961C2,REGISTERED,REGISTERED
DGC#02446,ECOMV107816L176654,501CB0D9D1FA,REGISTERED,REGISTERED
DGC#03150,ECOMV107816L176683,501CB0D94F24,REGISTERED,REGISTERED
DGC#08151,ECOMV107816L176777,501CB0D97832,REGISTERED,REGISTERED
DGC#05811,ECOMV107816L176995,501CB0D95C00,REGISTERED,REGISTERED
DGC#06355,ECOMV107816L177030,501CB0D970BA,REGISTERED,REGISTERED
DGC#07721,ECOMV107816L177126,501CB0D96EA6,REGISTERED,REGISTERED
